All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    0            
    # relocations                  0            
    # translocations               0            
    # inversions                   0            
    # interspecies translocations  1            
# misassembled contigs             0            
Misassembled contigs length        0            
# possibly misassembled contigs    1            
    # possible misassemblies       1            
# local misassemblies              0            
# structural variations            0            
# unaligned mis. contigs           0            
# mismatches                       101          
# indels                           13           
    # indels (<= 5 bp)             13           
    # indels (> 5 bp)              0            
Indels length                      19           
