Assembly	final.contigs
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	6120
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	2893
Total length	6880
Reference length	4104988
GC (%)	48.95
Reference GC (%)	47.44
N50	1673
N75	1554
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# structural variations	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 4 part
Unaligned length	6547
Genome fraction (%)	0.006
Duplication ratio	1.311
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1968.50
# indels per 100 kbp	0.00
Largest alignment	90
Total aligned length	333
NGA50	-
