Assembly	final.contigs
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	2945
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	2945
Total length	3509
Reference length	7777997
GC (%)	62.58
Reference GC (%)	50.45
N50	2945
N75	2945
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# structural variations	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 1 part
Unaligned length	2869
Genome fraction (%)	0.008
Duplication ratio	1.031
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4186.80
# indels per 100 kbp	0.00
Largest alignment	545
Total aligned length	621
NGA50	-
