Assembly	final.contigs
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	15344
Total length (>= 5000 bp)	13479
Total length (>= 10000 bp)	13479
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	13479
Total length	15992
Reference length	3618700
GC (%)	45.59
Reference GC (%)	62.27
N50	13479
N75	13479
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# structural variations	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 3 part
Unaligned length	15757
Genome fraction (%)	0.004
Duplication ratio	1.469
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2500.00
# indels per 100 kbp	0.00
Largest alignment	86
Total aligned length	235
NGA50	-
