Assembly	final.contigs
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	1045
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	1045
Total length	1045
Reference length	4306142
GC (%)	55.79
Reference GC (%)	53.59
N50	1045
N75	1045
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# structural variations	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 1 part
Unaligned length	968
Genome fraction (%)	0.002
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	77
Total aligned length	77
NGA50	-
