Assembly	final.contigs
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	3027
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	1842
Total length	4711
Reference length	4638566
GC (%)	38.10
Reference GC (%)	41.62
N50	1185
N75	605
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# structural variations	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 2 part
Unaligned length	2745
Genome fraction (%)	0.009
Duplication ratio	4.540
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2540.42
# indels per 100 kbp	0.00
Largest alignment	207
Total aligned length	509
NGA50	-
