Assemblies	final.contigs
Aquimarina_sp._22II-S11-z7	9429
Bacillus_thuringiensis_BMB171	-
Desulfuromonas_acetoxidans_DSM_684	807
Fluviicola_taffensis_DSM_16823	2087
Formosa_sp._LMG_28520	9469
Geobacter_pickeringii	15992
Ilumatobacter_coccineus_YM16-304	28596
Ilumatobacter_fluminis	35368
Ilumatobacter_nonamiensis_YM16-303	7651
Leisingera_caerulea_DSM_24564	12651
Luminiphilus_syltensis_NOR5-1B	46733
Magnetococcus_marinus_MC-1	-
Marivita_cryptomonadis	8896
Methylobacter_sp._XLMV4	19602
Nitrospina_sp._SCGC_AAA288-L16	15119
Polaribacter_sp._MED152	1849
Porticoccus_hydrocarbonoclasticus_MCTG13d	2179
Roseovarius_sp._A-2	8091
Shewanella_amazonensis_SB2B	1045
Spongiibacter_tropicus_DSM_19543	8313
Syntrophus_aciditrophicus	2713
gamma_proteobacterium_SCGC_AB-629-P17	6898
marine_gamma_proteobacterium_HTCC2080	22083
not_aligned	113129627
