Assemblies	final.contigs
Aquimarina_sp._22II-S11-z7	8
Bacillus_thuringiensis_BMB171	-
Desulfuromonas_acetoxidans_DSM_684	1
Fluviicola_taffensis_DSM_16823	1
Formosa_sp._LMG_28520	5
Geobacter_pickeringii	3
Ilumatobacter_coccineus_YM16-304	11
Ilumatobacter_fluminis	15
Ilumatobacter_nonamiensis_YM16-303	6
Leisingera_caerulea_DSM_24564	13
Luminiphilus_syltensis_NOR5-1B	19
Magnetococcus_marinus_MC-1	-
Marivita_cryptomonadis	9
Methylobacter_sp._XLMV4	4
Nitrospina_sp._SCGC_AAA288-L16	6
Polaribacter_sp._MED152	2
Porticoccus_hydrocarbonoclasticus_MCTG13d	1
Roseovarius_sp._A-2	11
Shewanella_amazonensis_SB2B	1
Spongiibacter_tropicus_DSM_19543	4
Syntrophus_aciditrophicus	1
gamma_proteobacterium_SCGC_AB-629-P17	4
marine_gamma_proteobacterium_HTCC2080	12
not_aligned	82149
